photoId,nsid,posted,photoUrl,nComments,nTags,nViews,nPhotos,nFollowers,nFollows,nGroups,nAlbums,camera,nFaves
32091727965,127675126@N07,1483503587,https://www.flickr.com/photos/127675126@N07/32091727965/,0,0,1,11358,0,0,0,0,Unknown,0
32091728775,78777993@N05,1483503592,https://www.flickr.com/photos/team-andrew/32091728775/,0,0,1,73707,27,82,0,1,Unknown,0
32091729325,128644453@N04,1483503596,https://www.flickr.com/photos/128644453@N04/32091729325/,0,0,3,232,0,0,0,0,Apple,0
32091729485,146433423@N07,1483503597,https://www.flickr.com/photos/146433423@N07/32091729485/,0,1,3,224,2,4,0,2,Nikon,0
32091780315,146642064@N03,1483503550,https://www.flickr.com/photos/146642064@N03/32091780315/,0,0,3,144,0,1,0,0,samsung,0
32092413835,145083691@N05,1483506566,https://www.flickr.com/photos/johancuevas/32092413835/,0,0,6,144,9,9,0,1,Nikon,0
32092414945,44300236@N02,1483506573,https://www.flickr.com/photos/dassouki/32092414945/,0,0,72,823,123,145,0,0,Sony,1
32092415715,145357824@N03,1483506570,https://www.flickr.com/photos/shigure1936/32092415715/,0,0,18,105,2,2,0,0,Unknown,0
32092416525,150814847@N06,1483506583,https://www.flickr.com/photos/150814847@N06/32092416525/,0,0,0,1,0,1,0,0,Unknown,0
32092417125,146166548@N08,1483506574,https://www.flickr.com/photos/kasasafred/32092417125/,0,0,0,65,0,0,0,0,Unknown,0
32092418025,20305138@N07,1483506576,https://www.flickr.com/photos/frankerazo/32092418025/,0,0,4,7206,10,40,0,0,Canon,0
32092418075,145958840@N05,1483506565,https://www.flickr.com/photos/nityaloka/32092418075/,0,0,0,316,0,1,0,0,Unknown,0
32092418795,132271080@N07,1483506579,https://www.flickr.com/photos/default-this/32092418795/,0,0,0,101,11,16,0,0,Fujifilm,0
32092420535,143657533@N04,1483506583,https://www.flickr.com/photos/143657533@N04/32092420535/,0,0,39,20,181,274,0,0,Apple,0
32092420735,36794241@N06,1483506584,https://www.flickr.com/photos/indebtwithgod/32092420735/,0,0,26,1074,11,16,0,1,Unknown,0
32092421505,147512140@N03,1483506590,https://www.flickr.com/photos/147512140@N03/32092421505/,0,0,69,20,23,29,4,0,Nikon,3
32092422765,145318563@N08,1483506590,https://www.flickr.com/photos/ksphotographycalgary/32092422765/,0,0,4,200,2,5,0,0,Canon,0
32092423455,36357444@N00,1483506592,https://www.flickr.com/photos/jjloveyy/32092423455/,0,0,0,29118,13,11,0,1,Canon,0
32092424685,147462240@N04,1483506595,https://www.flickr.com/photos/147462240@N04/32092424685/,0,0,4,959,0,0,0,1,Panasonic,0
32092425715,121311954@N05,1483506598,https://www.flickr.com/photos/creatingmiggz/32092425715/,0,0,1,2346,3,7,0,0,Apple,0
32092504745,124285120@N06,1483507160,https://www.flickr.com/photos/124285120@N06/32092504745/,0,0,12,5039,28,0,0,0,Unknown,0
32092505465,146369451@N02,1483507164,https://www.flickr.com/photos/146369451@N02/32092505465/,0,0,7,98,0,1,0,1,Lenovo,0
32092505685,148047274@N04,1483507165,https://www.flickr.com/photos/148047274@N04/32092505685/,0,1,20,871,2,5,0,1,Canon,0
32092506465,32757861@N00,1483507168,https://www.flickr.com/photos/crzegrl/32092506465/,0,1,0,293,15,3,0,1,Apple,0
32092507405,141405298@N03,1483507172,https://www.flickr.com/photos/austkwills/32092507405/,0,7,21,155,4,2,0,1,Canon,0
32092508265,142816956@N06,1483507174,https://www.flickr.com/photos/142816956@N06/32092508265/,0,0,0,2287,0,0,0,0,Unknown,0
32092508525,50236910@N00,1483507175,https://www.flickr.com/photos/nik0/32092508525/,0,0,6,5746,57,54,0,1,Fujifilm,0
32092508815,46055880@N03,1483507176,https://www.flickr.com/photos/cwwongfoto/32092508815/,0,0,9,40836,1800,182,0,0,samsung,0
32092508885,127288416@N05,1483507180,https://www.flickr.com/photos/127288416@N05/32092508885/,0,4,6,438,32,7,0,0,Canon,0
32092509355,146458785@N06,1483507178,https://www.flickr.com/photos/146458785@N06/32092509355/,0,0,1,54,0,0,0,0,Unknown,0
